station,day,max_dewpoint_f,precip_in,avg_wind_speed_kts,max_rh
DSM,2021-01-01,19.4,0.0,6.6807046,92.62583
DSM,2021-01-02,16.0,0.0,2.3802588,91.52417
DSM,2021-01-03,27.0,0.0,6.35036,100.0
DSM,2021-01-04,30.0,0.0,8.531228,100.0
DSM,2021-01-05,27.0,0.0,4.4893775,100.0
DSM,2021-01-06,28.9,0.0001,8.116376,92.49329
DSM,2021-01-07,28.0,0.0,6.081176,96.37933
DSM,2021-01-08,24.1,0.0,5.428173,85.07912
DSM,2021-01-09,19.9,0.0001,4.5976205,88.39731
DSM,2021-01-10,25.0,0.0001,6.374734,91.90275
DSM,2021-01-11,30.0,0.0,9.148432,84.6589
DSM,2021-01-12,30.0,0.0,4.8745646,87.86777
DSM,2021-01-13,30.0,0.0,5.5066204,82.1482
DSM,2021-01-14,35.0,0.22,14.055092,92.32428
DSM,2021-01-15,30.9,0.21,14.5481615,92.49329
DSM,2021-01-16,27.0,0.0001,13.175425,89.1155
DSM,2021-01-17,25.0,0.04,8.049822,92.01395
DSM,2021-01-18,23.0,0.0,3.839325,91.829796
DSM,2021-01-19,28.9,0.01,10.775216,91.97475
DSM,2021-01-20,28.9,0.0,10.404479,87.48126
DSM,2021-01-21,25.0,0.0001,10.794979,72.18179
DSM,2021-01-22,12.0,0.0,5.4223,66.674126
DSM,2021-01-23,23.0,0.02,7.0686855,87.86777
DSM,2021-01-24,25.0,0.0001,5.9433565,85.1362
DSM,2021-01-25,21.0,0.59,12.332298,91.86275
DSM,2021-01-26,16.0,0.18,10.586414,87.865425
DSM,2021-01-27,10.9,0.0,5.0245614,76.92418
DSM,2021-01-28,18.0,0.0,5.3003483,87.718124
DSM,2021-01-29,28.0,0.0,7.6445994,84.0537
DSM,2021-01-30,30.9,0.09,9.963147,95.65159
DSM,2021-01-31,27.0,0.0001,12.931547,88.43512
DSM,2021-02-01,21.0,0.0001,7.2785163,87.379036
DSM,2021-02-02,19.9,0.0,3.4940767,96.19435
DSM,2021-02-03,30.0,0.0,9.954704,92.18507
DSM,2021-02-04,30.9,0.15,14.153788,92.46329
DSM,2021-02-05,10.0,0.0001,12.920698,73.20055
DSM,2021-02-06,1.9,0.13,7.197732,79.31644
DSM,2021-02-07,-8.0,0.08,5.9944253,79.15584
DSM,2021-02-08,-3.0,0.02,6.036237,82.420685
DSM,2021-02-09,-6.0,0.0,2.7379792,82.5079
DSM,2021-02-10,0.0,0.0001,5.852162,72.40862
DSM,2021-02-11,-4.0,0.01,9.230434,75.14798
DSM,2021-02-12,-11.0,0.02,10.281442,74.74893
DSM,2021-02-13,-8.0,0.05,8.726748,74.869316
DSM,2021-02-14,-16.1,0.0001,10.54631,63.79298
DSM,2021-02-15,-16.1,0.0,9.684691,66.52712
DSM,2021-02-16,-9.9,0.0,4.2397213,69.58848
DSM,2021-02-17,8.1,0.02,4.8529615,85.04676
DSM,2021-02-18,10.9,0.0001,4.027178,91.33503
DSM,2021-02-19,16.0,0.0001,4.70662,82.58386
DSM,2021-02-20,21.9,0.0,6.408647,84.07205
DSM,2021-02-21,28.9,0.24,8.247525,95.612465
DSM,2021-02-22,30.9,0.0,10.488571,92.01395
DSM,2021-02-23,34.0,0.0,7.7860627,81.55437
DSM,2021-02-24,32.0,0.0,11.041789,87.80954
DSM,2021-02-25,30.9,0.0,4.496167,88.334496
DSM,2021-02-26,30.0,0.0,8.27108,84.6589
DSM,2021-02-27,36.0,0.0,6.754704,88.43512
DSM,2021-02-28,35.0,0.0,11.014184,92.35433
DSM,2021-03-01,24.1,0.0,6.0076923,88.39731
DSM,2021-03-02,30.0,0.0,10.253658,84.68373
DSM,2021-03-03,38.0,0.0,3.0222998,82.07766
DSM,2021-03-04,37.0,0.0,7.441115,88.3293
DSM,2021-03-05,28.9,0.0,4.864672,85.07912
DSM,2021-03-06,37.0,0.0,4.1872373,85.20553
DSM,2021-03-07,37.0,0.0,11.899647,82.07766
DSM,2021-03-08,37.0,0.0,7.4961405,52.863907
DSM,2021-03-09,50.0,0.0,13.272792,62.48991
DSM,2021-03-10,55.4,0.05,16.837662,80.75384
DSM,2021-03-11,32.0,0.0,7.7361403,84.98082
DSM,2021-03-12,30.0,0.0,3.6917713,71.81912
DSM,2021-03-13,30.9,0.0001,5.6041813,78.57606
DSM,2021-03-14,39.0,0.66,10.416028,82.124245
DSM,2021-03-15,33.0,0.37,9.872791,96.46132
DSM,2021-03-16,37.0,0.0001,5.8529615,95.67288
DSM,2021-03-17,35.0,0.05,10.377469,93.08276
DSM,2021-03-18,30.9,0.0,14.582317,81.45678
DSM,2021-03-19,27.0,0.0,5.5916376,72.51574
DSM,2021-03-20,30.9,0.0,10.593974,72.300934
DSM,2021-03-21,41.0,0.0,15.662816,68.05201
DSM,2021-03-22,45.0,0.03,7.6055946,86.326836
DSM,2021-03-23,51.0,1.0,7.9783974,100.0
DSM,2021-03-24,46.0,0.04,12.108834,93.05812
DSM,2021-03-25,39.0,0.22,3.995122,92.51814
DSM,2021-03-26,42.0,0.03,3.8703833,96.55275
DSM,2021-03-27,46.0,0.13,10.012812,96.628975
DSM,2021-03-28,37.0,0.0001,11.570618,85.536026
DSM,2021-03-29,39.0,0.0,17.30314,64.244995
DSM,2021-03-30,38.0,0.0,14.674574,54.3439
DSM,2021-03-31,14.0,0.0,14.5625,50.55524
DSM,2021-04-01,15.1,0.0,4.4065857,71.30493
DSM,2021-04-02,30.9,0.0,14.106214,53.696068
DSM,2021-04-03,39.0,0.0,7.823282,53.66978
DSM,2021-04-04,51.0,0.0,9.771631,73.84703
DSM,2021-04-05,56.0,0.0,13.711525,67.758934
DSM,2021-04-06,57.0,0.0,11.302113,77.551506
DSM,2021-04-07,57.0,1.02,9.466054,93.693306
DSM,2021-04-08,55.0,0.07,8.925435,96.729576
DSM,2021-04-09,47.0,0.06,11.0357895,100.0
DSM,2021-04-10,44.0,0.03,10.6550045,89.49497
DSM,2021-04-11,40.0,0.0,10.373315,88.87256
DSM,2021-04-12,38.0,0.0,15.144049,76.04004
DSM,2021-04-13,28.9,0.0,11.997139,69.50987
DSM,2021-04-14,30.9,0.0,10.551748,67.0326
DSM,2021-04-15,34.0,0.0,6.691332,81.45678
DSM,2021-04-16,39.0,0.0001,3.9104586,73.249565
DSM,2021-04-17,41.0,0.0001,7.7920513,88.76556
DSM,2021-04-18,36.0,0.0,6.985117,68.05201
DSM,2021-04-19,35.0,0.07,9.497123,92.91646
DSM,2021-04-20,18.0,0.0,8.672778,53.40498
DSM,2021-04-21,27.0,0.0001,7.589707,75.264336
DSM,2021-04-22,27.0,0.0,7.807719,60.91718
DSM,2021-04-23,44.0,0.0,8.206272,82.579834
DSM,2021-04-24,40.0,0.0,8.86015,88.71353
DSM,2021-04-25,41.0,0.0,10.222463,69.72826
DSM,2021-04-26,59.0,0.0,13.616287,71.28357
DSM,2021-04-27,60.0,0.0,9.901722,67.65678
DSM,2021-04-28,51.0,0.03,7.240418,89.12907
DSM,2021-04-29,47.0,0.0,8.351204,83.41674
DSM,2021-04-30,40.0,0.0,5.386494,51.336
DSM,2021-05-01,49.0,0.0,16.42712,59.978054
DSM,2021-05-02,61.0,0.0,11.323077,83.22815
DSM,2021-05-03,60.0,0.03,8.795886,90.247734
DSM,2021-05-04,40.0,0.0,10.37892,63.23817
DSM,2021-05-05,36.0,0.0001,4.1575093,55.136906
DSM,2021-05-06,41.0,0.0,10.250376,79.81897
DSM,2021-05-07,35.0,0.0,7.808696,60.109863
DSM,2021-05-08,42.8,0.77,11.303725,93.34736
DSM,2021-05-09,42.0,0.27,9.517315,93.19044
DSM,2021-05-10,41.0,0.0,6.6378946,82.22324
DSM,2021-05-11,38.0,0.0,6.698258,75.93673
DSM,2021-05-12,36.0,0.0,3.7525697,79.17319
DSM,2021-05-13,35.0,0.0,5.5496073,65.51837
DSM,2021-05-14,51.0,0.05,7.093706,77.3798
DSM,2021-05-15,57.2,0.15,6.267186,96.78369
DSM,2021-05-16,57.0,0.27,6.434843,96.81093
DSM,2021-05-17,59.0,0.16,8.229965,96.81093
DSM,2021-05-18,64.0,0.07,7.2022314,96.878845
DSM,2021-05-19,65.0,0.01,10.23662,96.903595
DSM,2021-05-20,67.0,0.45,9.214737,96.92933
DSM,2021-05-21,68.0,0.04,11.571329,93.319046
DSM,2021-05-22,70.0,0.04,8.178014,93.924324
DSM,2021-05-23,68.0,0.0,7.033994,93.56222
DSM,2021-05-24,65.0,0.0001,9.39576,89.814255
DSM,2021-05-25,66.0,0.07,10.209825,87.135025
DSM,2021-05-26,59.0,0.0,4.1355443,93.12406
DSM,2021-05-27,63.0,0.42,10.524963,96.85247
DSM,2021-05-28,42.0,0.01,9.683168,92.61712
DSM,2021-05-29,42.0,0.0,4.852265,91.83653
DSM,2021-05-30,46.0,0.0,5.070383,74.04533
DSM,2021-05-31,54.0,0.0,3.5147164,86.81767
DSM,2021-06-01,56.0,0.0,5.118861,96.7575
DSM,2021-06-02,56.0,0.0,3.24705,90.29139
DSM,2021-06-03,54.0,0.0,6.6059113,78.03314
DSM,2021-06-04,56.0,0.0,8.475162,64.50316
DSM,2021-06-05,64.0,0.0,10.446581,78.301735
DSM,2021-06-06,65.0,0.0,9.515,81.18729
DSM,2021-06-07,67.0,0.0,6.930265,93.28895
DSM,2021-06-08,68.0,0.0,5.6764913,87.03324
DSM,2021-06-09,68.0,0.0,3.6578948,83.93082
DSM,2021-06-10,68.0,0.0,4.36038,81.40747
DSM,2021-06-11,69.0,0.02,6.329179,78.774345
DSM,2021-06-12,66.0,0.0,8.228838,83.93082
DSM,2021-06-13,55.0,0.0,2.9134824,77.721375
DSM,2021-06-14,55.0,0.0,4.7225394,60.77762
DSM,2021-06-15,55.0,0.0,3.3769174,75.201256
DSM,2021-06-16,61.0,0.0,8.406272,67.63664
DSM,2021-06-17,71.0,0.02,9.35388,75.747345
DSM,2021-06-18,69.0,0.0001,6.6365657,76.62149
DSM,2021-06-19,68.0,0.0,6.0275364,92.705696
DSM,2021-06-20,71.0,1.18,10.362353,93.319046
DSM,2021-06-21,55.4,0.0,11.021815,84.0026
DSM,2021-06-22,63.0,0.71,7.7759833,93.56222
DSM,2021-06-23,68.0,0.0,10.8,90.247734
DSM,2021-06-24,74.0,0.61,8.173132,94.14301
DSM,2021-06-25,72.0,0.0,5.3860626,93.4268
DSM,2021-06-26,72.0,0.17,10.386525,93.40279
DSM,2021-06-27,66.0,0.0,4.3379793,93.56222
DSM,2021-06-28,68.0,0.01,4.183275,86.48417
DSM,2021-06-29,70.0,0.01,6.1888504,93.4268
DSM,2021-06-30,69.0,0.0001,2.7595818,96.29225
DSM,2021-07-01,63.0,0.0,5.2628975,84.55897
DSM,2021-07-02,65.0,0.0,4.9102473,84.55897
DSM,2021-07-03,67.0,0.0,3.9415905,87.03324
DSM,2021-07-04,68.0,0.0,7.8390245,81.26576
DSM,2021-07-05,68.0,0.0,8.119861,89.89542
DSM,2021-07-06,68.0,0.0,7.4814034,81.40747
DSM,2021-07-07,68.0,0.17,5.8695016,93.28895
DSM,2021-07-08,61.0,0.0,4.269686,93.12406
DSM,2021-07-09,71.0,0.71,9.12852,93.28895
DSM,2021-07-10,67.0,1.51,8.12291,96.92933
DSM,2021-07-11,64.0,0.0,8.023239,93.26418
DSM,2021-07-12,65.0,0.0,4.025784,93.15526
DSM,2021-07-13,67.0,0.0,4.730314,93.56222
DSM,2021-07-14,72.0,0.48,9.587892,94.10022
DSM,2021-07-15,69.0,0.07,4.518072,93.40279
DSM,2021-07-16,65.0,0.0,4.378397,90.642
DSM,2021-07-17,66.0,0.0,5.758547,90.400345
DSM,2021-07-18,65.0,0.0,3.8125436,93.53832
DSM,2021-07-19,67.0,0.0,3.4517577,90.642
DSM,2021-07-20,66.0,0.0,3.032717,90.400345
DSM,2021-07-21,67.0,0.0,3.3905032,89.814255
DSM,2021-07-22,69.0,0.0,7.1672473,87.03324
DSM,2021-07-23,71.0,0.0,7.603484,89.93965
DSM,2021-07-24,73.0,0.0,6.560279,90.32327
DSM,2021-07-25,69.0,0.0,1.9414635,96.9686
DSM,2021-07-26,69.0,0.0,4.3117523,87.135025
DSM,2021-07-27,73.0,0.0,6.681272,90.400345
DSM,2021-07-28,76.0,0.0,6.2850175,87.58521
DSM,2021-07-29,77.0,0.01,7.7145877,84.474464
DSM,2021-07-30,69.0,1.0,7.4169016,96.275345
